frame_index,x_centroid,y_centroid,visibility_flag
1,,,0
2,,,0
3,,,0
4,,,0
5,,,0
6,,,0
7,,,0
8,,,0
9,,,0
10,,,0
11,,,0
12,,,0
13,,,0
14,,,0
15,,,0
16,,,0
17,,,0
18,,,0
19,,,0
20,,,0
21,,,0
22,,,0
23,,,0
24,,,0
25,,,0
26,,,0
27,,,0
28,,,0
29,,,0
30,,,0
31,,,0
32,,,0
33,,,0
34,,,0
35,,,0
36,,,0
37,,,0
38,,,0
39,,,0
40,,,0
41,,,0
42,,,0
43,,,0
44,,,0
45,,,0
46,,,0
47,,,0
48,,,0
49,,,0
50,,,0
51,,,0
52,,,0
53,,,0
54,,,0
55,,,0
56,,,0
57,,,0
58,,,0
59,,,0
60,,,0
61,,,0
62,,,0
63,,,0
64,,,0
65,,,0
66,,,0
67,,,0
68,,,0
69,,,0
70,,,0
71,,,0
72,,,0
73,,,0
74,,,0
75,,,0
76,,,0
77,,,0
78,,,0
79,,,0
80,,,0
81,,,0
82,,,0
83,,,0
84,,,0
85,,,0
86,,,0
87,,,0
88,,,0
89,,,0
90,,,0
91,,,0
92,,,0
93,,,0
94,,,0
95,,,0
96,,,0
97,,,0
98,,,0
99,,,0
100,,,0
101,,,0
102,,,0
103,,,0
104,,,0
105,,,0
106,,,0
107,,,0
108,,,0
109,,,0
110,,,0
111,,,0
112,,,0
113,,,0
114,,,0
115,,,0
116,,,0
117,,,0
118,,,0
119,,,0
120,,,0
121,,,0
122,,,0
123,,,0
124,,,0
125,,,0
126,,,0
127,,,0
128,,,0
129,,,0
130,,,0
131,,,0
132,,,0
133,,,0
134,,,0
135,,,0
136,,,0
137,,,0
138,,,0
139,,,0
140,,,0
141,,,0
142,,,0
143,,,0
144,,,0
145,,,0
146,,,0
147,,,0
148,,,0
149,,,0
150,,,0
151,,,0
152,,,0
153,,,0
154,,,0
155,,,0
156,,,0
157,,,0
158,,,0
159,,,0
160,,,0
161,,,0
162,,,0
163,,,0
164,,,0
165,,,0
166,,,0
167,,,0
168,,,0
169,,,0
170,,,0
171,,,0
172,,,0
173,,,0
174,,,0
175,,,0
176,,,0
177,,,0
178,,,0
179,,,0
180,,,0
181,,,0
182,,,0
183,,,0
184,,,0
185,,,0
186,,,0
187,,,0
188,,,0
189,,,0
190,,,0
191,,,0
192,,,0
193,,,0
194,,,0
195,,,0
196,,,0
197,,,0
198,,,0
199,,,0
200,1249,492,1
201,1257,508,1
202,1260,517,1
203,1264,526,0
204,1268,534,0
205,1272,543,0
206,1276,552,0
207,1280,561,0
208,1284,570,0
209,1287,579,0
210,1291,588,0
211,1295,596,0
212,1299,605,0
213,1303,614,0
214,1307,623,0
215,1311,632,0
216,1314,641,0
217,1318,649,0
218,1322,658,0
219,1326,667,0
220,1330,676,0
221,1334,685,0
222,1338,694,0
223,1281,467,1
224,1282,464,0
225,1283,461,0
226,1283,458,0
227,1284,454,0
228,1285,451,0
229,1286,448,0
230,1286,445,0
231,1287,441,0
232,1288,438,0
233,1289,435,0
234,1289,432,0
235,1290,429,0
236,1291,425,0
237,1292,422,0
238,1292,419,0
239,1615,560,1
240,1639,568,0
241,1664,575,0
242,1688,583,0
243,1713,590,0
244,1653,568,1
245,1662,570,0
246,1671,572,0
247,1680,574,0
248,1689,577,0
249,1698,579,0
250,1707,581,0
251,1685,571,1
252,1690,571,0
253,1694,571,0
254,1699,572,0
255,1704,572,0
256,1708,572,0
257,1713,573,0
258,1718,573,0
259,1722,573,0
260,1727,574,0
261,1731,574,0
262,1736,575,0
263,1741,575,0
264,1745,575,0
265,1750,576,0
266,1732,573,1
267,1733,573,1
268,1737,574,1
269,1743,574,1
270,1746,574,1
271,1749,574,0
272,1753,575,0
273,1757,575,0
274,1760,575,0
275,1764,575,0
276,1767,575,0
277,1771,576,0
278,1775,576,0
279,1778,576,0
280,1769,579,1
281,1771,579,0
282,1773,580,0
283,1775,580,0
284,1777,581,0
285,1783,580,1
286,1785,580,0
287,1788,581,0
288,1791,581,0
289,1793,581,0
290,1796,582,0
291,1799,582,0
292,1802,582,0
293,1804,582,0
294,1807,583,0
295,1810,583,0
296,1812,583,0
297,1815,583,0
298,1818,584,0
299,1802,581,1
300,1802,581,1
301,1803,581,0
302,1804,581,0
303,1805,581,0
304,1806,581,0
305,1803,581,1
306,1803,581,0
307,1803,581,0
308,1804,581,0
309,1804,581,0
310,1804,581,0
311,1804,581,0
312,1804,581,0
313,1805,581,0
314,1805,581,0
315,1805,581,0
316,1805,581,0
317,1806,581,0
318,1806,581,0
319,1806,581,0
320,1806,581,0
321,1806,581,0
322,1807,581,0
323,1807,581,0
324,1807,581,0
325,1807,581,0
326,1808,581,0
327,1808,581,0
328,1808,581,0
329,1808,581,0
330,1808,581,0
331,1809,581,0
332,1809,581,0
333,1809,581,0
334,1809,581,0
335,1809,581,0
336,,,0
337,,,0
338,,,0
339,,,0
340,,,0
341,,,0
342,,,0
343,,,0
344,,,0
345,,,0
346,,,0
347,,,0
348,,,0
349,,,0
350,,,0
351,,,0
352,,,0
353,,,0
354,,,0
355,,,0
356,,,0
357,,,0
358,,,0
359,,,0
360,,,0
361,,,0
