frame_index,x_centroid,y_centroid,visibility_flag
1,,,0
2,,,0
3,,,0
4,,,0
5,1173,791,1
6,1173,791,0
7,1173,791,0
8,1173,791,0
9,1173,791,0
10,1173,791,0
11,1173,791,0
12,1173,791,0
13,1180,715,1
14,1181,706,0
15,1182,696,0
16,1183,687,0
17,1184,678,0
18,1185,668,0
19,1186,659,0
20,1186,649,0
21,1187,640,0
22,1188,631,0
23,1189,621,0
24,1190,612,0
25,1191,602,0
26,1192,593,0
27,1193,584,0
28,1194,574,0
29,1195,565,0
30,1196,555,0
31,1197,546,0
32,1198,537,0
33,1199,527,0
34,1199,518,0
35,1200,509,0
36,1201,499,0
37,1244,424,1
38,1248,411,0
39,1251,399,0
40,1254,386,0
41,1257,373,0
42,1260,360,0
43,1263,347,0
44,1266,334,0
45,1269,322,0
46,1273,309,0
47,1297,435,1
48,1302,437,0
49,1307,439,0
50,1313,442,0
51,1318,444,0
52,1324,447,0
53,1329,449,0
54,1335,452,0
55,1340,454,0
56,1346,457,0
57,1351,459,0
58,1356,462,0
59,1344,506,1
60,1348,513,0
61,1352,520,0
62,1355,526,0
63,1359,533,0
64,1363,539,0
65,1367,546,0
66,1370,553,0
67,1374,559,0
68,1378,566,0
69,1381,572,0
70,1385,579,0
71,1389,586,0
72,1393,592,0
73,1396,599,0
74,1400,605,0
75,1404,612,0
76,1407,619,0
77,1411,625,0
78,1415,632,0
79,1419,638,0
80,1422,645,0
81,1426,652,0
82,1430,658,0
83,1433,665,0
84,1437,671,0
85,1441,678,0
86,1445,685,0
87,1448,691,0
88,1262,551,1
89,1260,551,1
90,1256,551,0
91,1251,551,0
92,1247,551,0
93,1243,550,0
94,1239,550,0
95,1235,550,0
96,1231,550,0
97,1227,550,0
98,1222,550,0
99,1218,550,0
100,1236,570,1
101,1236,571,1
102,1234,572,0
103,1232,574,0
104,1231,576,0
105,1229,577,0
106,1227,579,0
107,1226,581,0
108,1224,582,0
109,1222,584,0
110,1221,586,0
111,1219,587,0
112,1217,589,0
113,1216,591,0
114,1214,592,0
115,1213,594,0
116,1211,596,0
117,1209,597,0
118,1208,599,0
119,1206,601,0
120,1204,602,0
121,1203,604,0
122,1201,606,0
123,1199,607,0
124,1198,609,0
125,1196,611,0
126,1194,612,0
127,1193,614,0
128,1191,616,0
129,1189,617,0
130,1188,619,0
131,1186,621,0
132,,,0
133,1162,601,1
134,1162,601,1
135,1160,603,1
136,1160,604,1
137,1157,605,1
138,1155,605,1
139,1154,606,0
140,1149,606,1
141,1147,606,1
142,1144,606,0
143,1142,607,0
144,1140,607,0
145,1137,607,0
146,1135,608,0
147,1133,608,0
148,1130,608,0
149,1128,609,0
150,1126,609,0
151,1124,609,0
152,1121,610,0
153,1119,610,0
154,1117,610,0
155,1114,611,0
156,1112,611,0
157,1110,612,0
158,1107,612,0
159,1105,612,0
160,1103,613,0
161,1101,613,0
162,1098,613,0
163,1096,614,0
164,1094,614,0
165,1091,614,0
166,1089,615,0
167,1087,615,0
168,1084,615,0
169,1082,616,0
170,1080,616,0
171,1078,616,0
172,,,0
173,,,0
174,,,0
175,,,0
176,,,0
177,,,0
178,,,0
179,,,0
180,,,0
181,,,0
182,,,0
183,,,0
184,,,0
185,,,0
186,,,0
187,,,0
188,,,0
189,,,0
190,,,0
191,,,0
192,,,0
193,,,0
194,,,0
195,,,0
196,,,0
197,,,0
198,,,0
199,,,0
200,,,0
201,,,0
202,,,0
203,,,0
204,,,0
205,,,0
206,,,0
207,,,0
208,,,0
209,,,0
