frame_index,x_centroid,y_centroid,visibility_flag
1,1081,578,1
2,1081,579,1
3,1082,580,1
4,1082,580,1
5,1082,580,0
6,1082,580,0
7,1081,579,1
8,1081,578,1
9,1081,578,1
10,1081,578,1
11,1081,578,1
12,1082,578,1
13,1082,578,1
14,1082,578,1
15,1082,578,1
16,1082,578,1
17,1082,578,1
18,1081,578,1
19,1081,578,1
20,1081,578,1
21,1081,579,1
22,1081,579,1
23,1081,579,0
24,1081,579,0
25,1081,579,0
26,1081,578,1
27,1080,578,1
28,1080,578,0
29,1080,578,0
30,1081,578,1
31,1081,578,1
32,1081,579,0
33,1081,579,0
34,1081,579,0
35,1081,579,0
36,1081,579,0
37,1081,579,0
38,1081,579,0
39,1082,579,0
40,1184,404,1
41,1562,502,1
42,1734,547,1
43,1849,563,0
44,1963,579,0
45,2078,595,0
46,2193,611,0
47,2307,627,0
48,2422,643,0
49,2537,659,0
50,,,0
51,,,0
52,,,0
53,,,0
54,,,0
55,,,0
56,1079,579,1
57,1079,579,1
58,1079,579,1
59,1080,579,1
60,1080,580,1
61,1080,580,1
62,1080,580,1
63,1080,580,1
64,1080,580,0
65,1080,581,0
66,1080,581,0
67,1081,581,0
68,1081,581,0
69,1081,581,0
70,1081,581,0
71,1120,447,1
72,1123,436,1
73,1128,413,1
74,1131,402,1
75,1132,398,1
76,1106,490,1
77,1090,547,1
78,1081,577,0
79,1072,608,0
80,1063,638,0
81,1055,669,0
82,1046,699,0
83,1037,730,0
84,1028,761,0
85,1019,791,0
86,1011,822,0
87,1002,852,0
88,993,883,0
89,984,913,0
90,976,944,0
91,1678,1004,1
92,1704,1018,1
93,1716,1023,1
94,1752,1045,0
95,1788,1066,0
96,1824,1087,0
97,1860,1109,0
98,1896,1130,0
99,1932,1151,0
100,1968,1173,0
101,2004,1194,0
102,2040,1215,0
103,2076,1237,0
104,2112,1258,0
105,2148,1279,0
106,2184,1301,0
107,2220,1322,0
108,2256,1343,0
109,2292,1365,0
110,2328,1386,0
111,2364,1407,0
112,2400,1429,0
113,2436,1450,0
114,2472,1471,0
115,2508,1493,0
116,,,0
117,1081,579,1
118,1081,579,1
119,1463,588,1
120,1647,592,1
121,1736,594,1
122,1411,587,1
123,1215,583,1
124,1105,581,1
125,1050,579,1
126,1028,579,1
127,1026,579,1
128,1033,579,1
129,1044,579,1
130,1055,579,1
131,1064,580,1
132,1071,580,1
133,1076,579,1
134,1079,579,1
135,1081,580,1
136,1082,580,1
137,1082,580,1
138,1082,580,1
139,1081,580,1
140,1082,580,1
141,1082,580,1
142,1082,580,1
143,1083,579,1
144,1083,579,1
145,1096,497,1
146,1104,447,1
147,1102,423,1
148,1100,413,1
149,1099,410,1
150,1099,393,0
151,1100,375,0
152,1100,358,0
153,1101,340,0
154,1102,323,0
155,1102,305,0
156,1103,288,0
157,1104,270,0
158,1104,253,0
159,1105,235,0
160,1106,217,0
161,1106,200,0
162,1107,182,0
163,1108,165,0
164,1108,147,0
165,1109,130,0
166,1110,112,0
167,1110,95,0
168,1728,652,1
169,1747,663,1
170,1784,682,0
171,1821,701,0
172,1858,719,0
173,1895,738,0
174,1932,757,0
175,1969,776,0
176,2006,795,0
177,2043,814,0
178,2079,833,0
179,2116,852,0
180,2153,871,0
181,2190,890,0
182,2227,909,0
183,2264,927,0
184,2301,946,0
185,2338,965,0
186,2375,984,0
187,2411,1003,0
188,2448,1022,0
189,2485,1041,0
190,2522,1060,0
191,,,0
192,,,0
193,,,0
194,,,0
195,,,0
196,870,457,1
197,858,482,1
198,858,483,1
199,858,483,1
200,853,488,1
201,844,489,1
202,839,489,1
203,836,489,1
204,1311,540,1
205,1597,571,1
206,1757,586,1
207,1830,593,1
208,1851,594,1
209,1357,545,1
210,1038,513,1
211,1340,540,1
212,1545,558,1
213,1674,570,1
214,1397,577,1
215,1217,581,1
216,1110,582,1
217,1055,582,1
218,980,585,0
219,905,588,0
220,830,591,0
221,755,594,0
222,680,598,0
223,605,601,0
224,530,604,0
225,1052,580,1
226,1071,579,1
227,1079,578,0
228,1087,578,0
229,1095,577,0
230,1103,576,0
231,1111,576,0
232,1120,575,0
233,1589,779,1
234,1666,809,0
235,1742,839,0
236,1818,868,0
237,1052,449,1
238,936,383,1
239,842,324,0
240,749,265,0
241,655,205,0
242,561,146,0
243,468,87,0
