frame_index,x_centroid,y_centroid,visibility_flag
1,,,0
2,,,0
3,1202,707,1
4,1202,707,0
5,1202,707,0
6,1202,707,0
7,1202,707,0
8,1202,707,0
9,1202,707,0
10,1202,707,0
11,1202,707,0
12,1202,707,0
13,1202,707,0
14,1202,707,0
15,1202,707,0
16,1202,707,0
17,1202,707,0
18,1202,707,0
19,1202,707,0
20,1202,707,0
21,1202,707,0
22,1202,707,0
23,1202,707,0
24,1202,707,0
25,1202,707,0
26,1202,707,0
27,1202,707,0
28,1202,707,0
29,1202,707,0
30,1202,707,0
31,1202,707,0
32,1202,707,0
33,1202,707,0
34,,,0
35,,,0
36,,,0
37,,,0
38,,,0
39,,,0
40,,,0
41,,,0
42,,,0
43,,,0
44,,,0
45,,,0
46,,,0
47,,,0
48,,,0
49,,,0
50,,,0
51,1289,488,1
52,1289,488,1
53,1291,491,1
54,1295,491,1
55,1297,492,0
56,1359,600,1
57,1380,634,0
58,1400,667,0
59,1421,700,0
60,1441,734,0
61,1461,767,0
62,1191,792,1
63,1166,824,0
64,1141,856,0
65,1116,888,0
66,1092,920,0
67,1522,765,1
68,1576,764,0
69,1578,552,1
70,1603,486,1
71,1623,457,1
72,1646,452,1
73,1676,418,0
74,1692,467,1
75,1718,455,0
76,1743,474,1
77,1754,479,1
78,1773,473,1
79,1788,466,1
80,1809,456,1
81,1833,445,1
82,1851,436,1
83,1873,428,1
84,1893,420,0
85,1912,422,1
86,1920,422,1
87,1936,422,1
88,1950,424,1
89,1956,426,1
90,1969,425,0
91,1981,425,0
92,1997,437,1
93,2003,440,1
94,2014,442,0
95,2026,444,0
96,2032,443,1
97,2036,443,1
98,2045,444,0
99,2053,446,0
100,2071,430,1
101,2076,426,1
102,2086,422,1
103,2091,420,1
104,2102,418,1
105,2108,416,1
106,2117,415,1
107,2122,414,1
108,2133,413,1
109,2138,413,1
110,2156,413,1
111,2166,414,1
112,2172,416,1
113,2188,418,1
114,2197,419,1
115,2204,417,1
116,2207,415,1
117,1930,417,1
118,1758,417,1
119,1537,449,1
120,1415,467,1
121,1359,477,1
122,1343,482,1
123,1260,491,0
124,1177,501,0
125,1095,510,0
126,1012,520,0
127,929,529,0
128,846,539,0
129,2226,402,1
130,2333,392,1
131,2391,385,1
132,2409,382,1
133,2417,379,1
134,2411,378,1
135,2401,378,1
136,2390,379,1
137,2389,381,1
138,2387,383,1
139,2390,383,1
140,2391,383,1
141,2403,381,1
142,2414,377,1
143,2419,374,1
144,2426,372,0
145,2433,370,0
146,2447,370,1
147,2452,369,1
148,2456,368,1
149,2458,368,1
150,2082,508,1
151,1849,595,1
152,1732,641,1
153,1680,661,1
154,1669,662,1
155,1679,657,1
156,1623,677,0
157,1568,696,0
158,1704,622,1
159,1731,606,1
160,1730,600,0
161,1728,595,0
162,1727,589,0
163,1725,584,0
164,1724,578,0
165,1722,573,0
166,1721,568,0
167,1720,562,0
168,1718,557,0
169,1717,551,0
170,1715,546,0
171,1714,540,0
172,1712,535,0
173,1711,529,0
174,1709,524,0
175,1708,518,0
176,1706,513,0
177,1705,507,0
178,1703,502,0
179,1702,497,0
180,1700,491,0
181,1699,486,0
182,1697,480,0
183,1696,475,0
184,1694,469,0
185,1693,464,0
186,1691,458,0
187,1690,453,0
188,1688,447,0
189,1687,442,0
190,,,0
191,,,0
192,,,0
193,,,0
194,,,0
195,,,0
196,,,0
197,,,0
198,,,0
199,,,0
200,,,0
201,,,0
